Scheme_Code,Fund_Name,AMC,Category,Type,Plan,Benchmark,Start_Date,End_Date,Initial_NAV,Final_NAV,Period_Years,ROI_abs_pct,CAGR_since_pct,CAGR_1Y_pct,CAGR_3Y_pct,CAGR_5Y_pct,CAGR_10Y_pct,Ann_Volatility,Ann_Return_pct,Sharpe,Max_Drawdown_pct
147617,ITI Arbitrage Fund - Direct Plan - Growth Option,ITI Mutual Fund,Hybrid Scheme - Arbitrage Fund,Open Ended Schemes,,,2019-09-12,2025-09-08,10.0187,13.6926,5.99,36.670426,5.349649,7.302891,7.194528,5.525755,,0.010391,5.484193,-0.977621,-0.578141
144651,DSP Corporate Bond Fund - Direct - IDCW - Monthly,DSP Mutual Fund,Debt Scheme - Corporate Bond Fund,Open Ended Schemes,,,2018-09-11,2025-09-05,10.0102,10.5764,6.99,5.656231,0.790347,0.763126,0.469562,0.300138,,0.028843,0.862471,-1.954573,-4.691844
153456,Groww Nifty 500 Momentum 50 ETF FOF - Regular Plan- Growth,Groww Mutual Fund,Other Scheme - FoF Domestic,Open Ended Schemes,,,2025-04-25,2025-09-08,9.8498,10.1441,0.37,2.987878,8.222026,,,,,0.145102,9.445103,0.202967,-9.360311
145822,Shriram ELSS Tax Saver Fund - Direct- IDCW,Shriram Mutual Fund,Equity Scheme - ELSS,Open Ended Schemes,,,2019-02-01,2025-09-08,10.0074,23.0523,6.61,130.352539,13.465148,-10.716444,10.970257,15.231302,,0.165947,15.407212,0.536749,-29.791608
119236,DSP Strategic Bond Fund - Direct Plan - IDCW - Monthly,DSP Mutual Fund,Debt Scheme - Dynamic Bond,Open Ended Schemes,,,2013-01-02,2025-09-05,1049.676,1057.9923,12.68,0.792273,0.062244,-1.014802,-0.290119,-0.075897,-0.027008,0.048829,0.185143,-1.29327,-7.731612
144397,Axis Aggressive Hybrid Fund - Direct Plan - Monthly IDCW,Axis Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,,,2018-08-16,2025-09-08,10.01,16.31,7.07,62.937063,7.150712,-6.048387,3.713557,7.864903,,0.127582,8.204572,0.133606,-28.42725
147554,Edelweiss Overnight Fund - Direct Plan - Monthly - IDCW Option,Edelweiss Mutual Fund,Debt Scheme - Overnight Fund,Open Ended Schemes,,,2019-11-13,2025-09-08,1016.2325,1059.6289,5.82,4.270322,0.720507,-0.041733,0.002705,0.242459,,0.016019,0.663473,-3.643412,-0.547654
149006,Tata Floating Rate Fund-Regular Plan-IDCW Periodic Payout,Tata Mutual Fund,Debt Scheme - Floater Fund,Open Ended Schemes,,,2021-07-12,2025-09-05,10.0052,12.8716,4.15,28.649102,6.253033,7.836665,7.162616,,,0.007369,6.503401,0.004615,-0.576265
119568,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Liquid Fund,Open Ended Schemes,,,2013-01-01,2025-09-08,184.0251,430.5128,12.69,133.942435,6.925031,7.0344,7.139036,5.739782,6.336908,0.002067,5.468276,-4.992241,-0.230874
149964,HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Regular - payout of IDCW,HSBC Mutual Fund,Other Scheme - Index Funds,Open Ended Schemes,,,2022-04-04,2025-09-05,10.0012,12.5429,3.42,25.41395,6.835845,8.088381,7.539921,,,0.016641,7.114348,0.369173,-2.378811
